#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
96000,-168347.49758986442,30216.571436413535,-138130.92615345088,301.76981659414895,118.57889190194543,127
98000,-167895.75887757028,29885.213977386476,-138010.5449001838,298.46058345205927,117.68594892214058,127
100000,-167807.58961985982,29675.340961913374,-138132.24865794645,296.3646030553205,118.54064525131555,127
102000,-167556.83425365738,29519.828636587947,-138037.00561706943,294.8115173258446,118.6401518032657,127
104000,-168043.89719826623,29945.971973465057,-138097.92522480118,299.0673673610757,118.22350037056675,127
106000,-167968.69980423013,29704.486133004306,-138264.21367122582,296.65567290595607,118.12102697413995,127
108000,-167570.96566223807,29463.739658535924,-138107.22600370215,294.2513624235808,118.76976519891899,127
110000,-167550.53622059524,29741.278641446494,-137809.25757914875,297.02311593462673,118.24491334396511,127
112000,-168180.21076079912,29993.69855212397,-138186.51220867515,299.5440078336348,117.71043638555936,127
114000,-167803.80432043993,29950.11693953519,-137853.68738090474,299.1087627143972,118.24218834173642,127
116000,-167745.91466834815,29977.656191072485,-137768.25847727567,299.3837944102677,118.48466490019712,127
118000,-167482.96153659676,30021.640263514942,-137461.32127308182,299.8230588550097,118.04201420137316,127
120000,-167591.39010524552,29881.434159013304,-137709.95594623222,298.42283479153934,118.45492680149657,127
122000,-167810.7735511196,30055.385045610674,-137755.38850550895,300.1600645515517,118.07342178839167,127
124000,-167514.74991849903,29804.432002770307,-137710.31791572872,297.65382211200017,118.99233537974834,127
126000,-167319.4124944897,30400.659908354224,-136918.75258613547,303.60828938486713,118.33490929698644,127
128000,-167199.0958612183,30340.41467173514,-136858.68118948315,303.00662635226695,117.84662468999193,127
130000,-167015.21635067812,30030.933329787338,-136984.28302089078,299.9158677599022,118.42427435939611,127
132000,-167431.37930859183,30117.873806235846,-137313.50550235598,300.7841334295426,117.73676016468531,127
